1329,1204,1299,1119,1135,1178,1149,945,883,901,NaN
1220,1273,1211,1146,1191,1182,1060,989,822,862,796
1181,1256,1287,1298,1135,1192,1081,821,881,803,NaN
1244,1136,1145,1274,995,986,1096,874,859,888,808
1220,1211,1276,1177,1173,1120,1077,962,890,830,783
1159,1139,1245,1195,1213,1155,NaN,991,850,NaN,NaN
1217,1156,1196,1208,1215,1123,1246,976,936,915,787
1192,1191,NaN,1124,1189,1088,1142,960,818,877,913
1077,1249,1248,1177,1238,1151,1087,NaN,900,834,836
1129,1198,1137,1176,1270,1160,1086,918,875,NaN,830
1181,1324,1186,1285,1121,1145,1031,955,928,NaN,822
1367,1136,1272,1271,1255,1128,1151,939,924,854,823
1091,1124,1231,1313,1342,1243,831,860,828,790,793
1274,1302,1226,NaN,1265,NaN,NaN,1003,NaN,927,828
1604,1368,1405,1241,1271,1256,1162,896,862,838,NaN
1266,1403,1387,1383,1323,1277,1060,986,836,953,785
1340,1342,1401,1266,1240,1276,988,909,923,776,NaN
1526,1268,1304,1374,1182,1202,1115,853,869,778,724
1492,1438,1503,1286,1263,1165,1191,969,809,746,873
1310,1312,1331,1347,1312,1253,NaN,1066,833,NaN,825
1318,1347,1228,1222,1363,1203,1287,946,855,891,799
1381,1230,NaN,1210,1275,1236,1265,1077,844,910,851
1356,1347,1456,1294,1266,1244,1099,NaN,941,770,808
1218,1402,1271,1372,1372,1249,1119,923,891,913,825
1333,1479,1476,1372,1296,1202,1070,1023,879,NaN,747
1585,1319,1361,1479,1345,1254,1230,907,882,814,721
1389,1275,1493,1437,1390,1154,923,1004,768,814,767
1383,1462,1521,NaN,1352,NaN,NaN,999,NaN,876,770
1715,1561,1623,1354,1375,1481,1158,998,906,888,NaN
1487,1556,1579,1635,1503,1363,1115,946,868,864,822
1493,1323,1519,1397,1354,1319,1157,855,945,775,NaN
1783,1237,1304,1534,1207,1229,1127,807,879,815,736
1760,1689,1685,1650,1367,1222,1144,997,953,836,802
1462,1466,1702,1407,1478,1316,NaN,1022,847,NaN,NaN
1490,1551,1395,1449,1348,1278,1440,1029,889,NaN,NaN
1538,1411,NaN,1415,1436,1327,1405,NaN,852,NaN,802
1512,1678,1531,1575,1372,1341,1258,NaN,NaN,NaN,786
1417,1671,1396,1611,1463,1361,1244,NaN,NaN,NaN,816
1493,1650,1714,1539,1381,1304,1014,1028,973,NaN,857
1807,1431,1563,1621,1476,1308,1322,837,916,789,728
1677,1643,1650,1557,1568,1309,1052,1024,827,785,770
1814,1688,1749,NaN,1553,NaN,NaN,1042,NaN,924,743
1907,1434,1960,1575,1244,1608,1320,916,834,813,NaN
1402,1748,1842,1735,1728,1379,1157,858,861,739,616
1637,1469,1445,1519,1374,1333,1063,740,777,745,NaN
2024,1530,1745,1454,1117,1122,936,765,782,789,677
1900,1743,1854,1885,1403,1261,1207,914,842,686,690
1431,1689,1914,1396,1528,1324,NaN,1031,893,NaN,675
1447,1621,1636,1332,1321,1091,1367,902,767,898,759
1419,1494,NaN,1441,1445,1389,1319,1046,803,842,743
1754,2017,1703,1684,1344,1409,1222,NaN,815,704,791
1520,2028,1502,1822,1460,1359,1197,935,878,729,733
1733,1791,1937,1678,1382,1307,1159,950,874,NaN,677
1965,1447,1657,1792,1559,1416,1195,840,859,772,701
1716,1713,1873,1729,1686,1429,1034,965,797,815,753
2063,1688,1872,NaN,1518,NaN,NaN,920,NaN,878,816
2249,2150,2293,1684,1570,1840,1467,1126,990,952,NaN
