663360,572200,572200,494440,663760,624680,582720,572200,604040
663760,626000,615800,663360,582720,663760,632880,572200,663360
602760,659960,624680,632880,618240,494440,663760,582720,618680
618240,632880,582720,618680,604040,604040,624680,582720,572200
626000,582720,663760,604040,604040,494440,632880,602760,615800
571720,742800,790200,812560,731200,754400,708520,739960,44120
825000,764520,784880,809960,806760,745520,755640,719240,41320
840920,746560,789440,784320,731200,760560,817720,765440,40240
773960,754040,734400,765720,724800,685440,656440,691320,48200
787640,715000,720800,733440,703040,726440,695600,705160,46480
684160,877080,799560,822880,822080,853520,699520,719680,25080
782080,861400,804040,778960,803320,839680,728360,681960,22760
797520,757600,754640,800080,842760,873440,703040,751080,20920
728360,869080,735440,837920,789640,739240,678520,662920,23760
816280,759240,757680,796000,871240,744400,683640,768080,25120
724400,730080,806160,795200,771440,677160,626440,661480,17160
850320,752320,868720,738640,849320,777080,725960,653600,15880
765880,745360,751320,843840,886640,776760,698240,649600,12520
845360,752640,795280,721200,947320,741520,607760,620480,17040
917320,811920,764440,766080,863440,785040,684920,592200,16840
595640,737280,550080,560960,630800,555080,453280,430040,12440
663240,598960,637840,620040,659240,704000,482240,502000,11600
635840,606680,587880,614680,698320,680680,473160,465640,8320
624320,560920,597240,619080,601600,569800,459600,436120,12040
667920,557720,621240,583680,626280,532000,445920,444960,12480
