538880,625240,549200,615440,652760,730040,583440,614480,614480
538880,614480,625240,632520,583440,652760,615440,614480,614480
609760,609760,560680,625240,652760,615440,560680,560680,549200
734120,592880,549200,730040,632520,571680,592880,571680,614480
560680,615440,571680,632520,571680,734120,734120,614480,614480
649920,871200,852840,803680,925040,868760,892600,967080,268040
871040,927400,894480,816240,899040,847440,851840,954520,247640
857720,864520,831560,894000,914360,839040,822040,833040,234000
930120,772200,841040,717480,955000,878160,798680,810400,226680
897840,371560,461560,460080,540520,418160,489800,521160,32360
687120,900560,933160,834280,956160,915600,860000,842440,117920
756960,895960,867080,841520,934880,865600,874240,831560,105120
641080,853160,866120,809960,943120,872880,842000,870440,103320
862480,737320,734240,660680,868840,768480,787560,736600,100080
680400,797560,861160,803200,921120,862080,851720,757760,38480
499200,551520,632880,624480,592760,596240,645160,527240,53520
586200,568040,596920,710320,621440,663760,700160,646520,54200
633360,536680,579600,617480,575480,614480,642040,602200,55160
570880,455360,518520,541360,610640,553280,541560,454040,45000
522520,544200,592600,621680,641920,602160,570120,488760,17800
343320,432040,498040,481840,478440,497800,592800,673320,30360
353400,381480,410960,452960,461840,483480,452880,456000,25240
379280,255720,214640,209960,188520,177520,188040,151560,9640
409720,113240,131560,139320,141920,144880,152280,144800,7120
401440,409560,446320,442120,447000,426360,367680,272000,10000
