1446400,1791840,1394960,1446400,1418320,1394960,1681480,1701560,1502040
1466240,1509840,1872240,1380920,1791840,1380920,1388920,1559720,1388920
1466240,1389400,1494400,1589480,1502040,1509840,1446400,1791840,1504360
1446400,1494400,1504360,1559720,1389400,1380920,1502040,1559720,1509840
1872240,1701560,1872240,1589480,1380920,1488200,1504360,1504360,1502040
1192280,1439760,1451640,1280200,1046880,858920,700800,651080,621200
1208560,1470320,1349880,1188960,961480,813960,648360,839520,612840
1416640,1294120,1426000,1300480,1254800,1033520,961040,691280,667800
1398760,1386360,1351640,1299360,1034320,952440,812040,817080,701800
1347360,1284240,1297480,1156800,1009520,880080,770680,668400,574360
729840,906000,950880,917560,724960,627480,534560,506160,431960
847640,1036080,1023800,921160,749000,699120,534320,606760,481600
926560,1110600,1034360,1035320,795840,738360,563680,502680,545400
923080,1057320,986640,950040,810760,754960,578200,552160,447280
894920,974800,1048840,933040,810720,726080,618000,568280,484880
487080,717400,806800,798600,600000,711880,456080,461080,382480
720560,932720,1006680,782120,736160,707360,509320,540400,426400
749720,923200,941440,900920,758320,639440,562600,555280,499120
757040,859120,1041200,921840,767440,678840,594400,468840,571440
760200,1022360,1001640,967280,797680,742920,560000,652560,458120
249240,391160,445600,486680,325120,360840,320680,294160,248360
404320,627840,919960,605000,513200,464520,349400,305000,286120
459120,606760,697000,636280,511480,462480,351240,395600,300680
419960,674160,640720,466080,527720,506280,399080,360600,298760
446040,667720,737080,713960,591840,531400,434440,392840,302880
