615800,602760,659960,572200,582720,602760,615800,618240,618240
663360,659960,604040,494440,659960,626000,582720,618680,632880
615800,618680,632880,602760,659960,624680,659960,494440,618680
632880,604040,604040,582720,663360,604040,618240,626000,494440
582720,582720,604040,494440,626000,582720,663360,618240,659960
571720,635720,861360,936480,712560,602120,460920,399440,326880
825000,768680,778160,812640,645600,588240,471720,399400,327280
840920,766960,792120,781280,750040,576720,447560,392280,285840
773960,740960,818480,783360,653760,621560,401000,429800,289720
787640,748000,805360,756520,662480,549360,490000,382080,310120
684160,669680,808920,862560,720880,602600,387240,290120,272440
782080,780960,788480,772720,707480,614720,365440,283760,235200
797520,887440,813960,810080,679760,619360,348560,286160,306320
728360,779960,881960,795280,704920,665080,394600,284040,257280
816280,824480,854320,812440,721640,568120,327280,356400,219120
724400,774680,716240,973560,799240,664680,380320,389200,252640
850320,674640,753000,842160,627920,557760,306080,317360,195160
765880,769560,861320,780400,704240,522680,333200,354280,354120
845360,713160,790000,843120,644880,557840,414160,226000,215720
917320,741040,851200,677480,741920,630080,388480,283360,284720
595640,504360,770160,721760,611440,492400,277320,194320,191680
663240,615400,792600,632600,512080,414640,338080,194360,175960
635840,692480,664520,682720,532880,440960,344560,221240,137840
624320,713320,582440,686120,489720,302960,247760,243720,157040
667920,523840,668360,634920,485400,398080,200640,194840,152680
