480,504,505,476,532,458,505,538,477,442,442
519,546,532,488,499,480,433,622,NaN,NaN,NaN
526,474,532,501,NaN,NaN,NaN,505,394,NaN,477
489,520,528,467,606,618,525,484,503,NaN,490
557,596,502,485,615,552,501,512,421,425,415
464,NaN,525,560,528,541,447,511,NaN,471,520
495,500,562,569,496,605,513,536,486,507,NaN
NaN,550,576,524,545,561,561,582,521,529,437
NaN,564,549,580,557,532,470,683,NaN,NaN,NaN
NaN,521,571,588,NaN,NaN,NaN,451,424,NaN,535
NaN,645,649,513,661,606,568,503,514,NaN,525
NaN,610,601,578,619,615,556,564,545,439,414
NaN,NaN,587,589,591,551,520,538,NaN,521,474
NaN,535,559,641,523,684,486,575,507,495,NaN
NaN,757,618,607,683,687,625,687,631,552,458
NaN,685,686,693,762,623,660,752,NaN,NaN,NaN
NaN,739,605,678,NaN,NaN,NaN,540,520,NaN,546
NaN,772,681,760,680,704,654,587,559,NaN,617
NaN,781,789,644,772,688,565,620,555,516,467
NaN,NaN,714,672,649,736,718,646,NaN,566,468
NaN,702,679,759,758,793,722,654,578,564,NaN
NaN,813,721,728,724,694,697,723,619,605,508
NaN,755,854,780,794,683,716,868,NaN,NaN,NaN
NaN,848,731,735,NaN,NaN,NaN,729,476,NaN,539
NaN,921,805,806,803,762,783,642,653,595,595
NaN,923,1003,752,851,792,697,715,668,523,453
NaN,NaN,766,811,860,892,746,747,NaN,621,470
NaN,795,763,829,926,914,785,849,793,609,NaN
NaN,1104,913,795,797,885,804,836,663,669,501
NaN,882,1027,959,906,885,807,1093,NaN,738,NaN
NaN,929,906,900,688,NaN,NaN,701,704,NaN,584
NaN,986,936,936,935,846,882,766,730,641,600
NaN,1117,1092,906,1009,922,830,815,708,680,508
NaN,NaN,903,1030,1073,1009,837,834,NaN,651,554
NaN,930,1087,1070,1035,1041,903,933,952,704,NaN
NaN,1134,1165,1030,985,1090,1014,942,808,850,511
NaN,1300,1116,1090,1125,960,1004,1316,872,838,NaN
NaN,1135,1040,1170,1156,NaN,NaN,867,833,NaN,618
NaN,1221,1369,1192,1144,1057,1104,863,757,712,650
NaN,1367,1281,1113,1306,1030,1027,973,856,732,515
NaN,NaN,1335,1194,1209,1161,1035,962,851,811,549
