1619,1509,1487,1342,NaN,1297,NaN,NaN,576,NaN,NaN
1658,1632,1613,1740,1709,1534,1575,1453,1225,1272,NaN
2149,2059,2018,1929,1799,1704,1500,NaN,1375,1359,1267
1917,1990,1962,1718,1716,1774,1679,1462,1339,1265,1239
1989,2143,1854,1773,1933,1786,1741,1434,1412,1387,NaN
2132,1865,2022,1738,1734,NaN,1683,NaN,1388,1343,NaN
2089,1969,2069,2257,1799,1708,1860,1490,1402,1216,1253
2284,1874,2129,2034,1941,1771,1664,1432,1351,1306,1304
1831,1902,1990,1906,1979,1907,1689,1529,1246,NaN,1176
1891,2345,1952,2028,1951,1815,NaN,1399,1175,1277,1199
2172,2157,2186,2030,2016,1978,1642,1345,1166,1342,NaN
2198,1944,2250,1939,1973,2010,1860,1447,1297,1292,NaN
2270,2151,NaN,2120,1983,1950,1992,1456,1212,1247,NaN
2354,2177,2346,1991,1846,2034,1861,1594,1246,1269,1135
1758,1753,1687,1543,NaN,1430,NaN,NaN,715,NaN,NaN
1893,1879,1934,1990,1901,1625,1642,1423,1226,1230,NaN
2247,2359,2275,2139,1999,1799,1819,NaN,1272,1310,1236
2194,2208,2292,1962,1879,1821,1996,1441,1268,1103,1209
2308,2401,2077,2044,2035,1945,1827,1491,1311,1351,NaN
2412,2202,2296,2045,1807,NaN,1854,NaN,1264,1304,NaN
2440,2293,2121,2487,1980,1891,1868,1524,1278,1262,1236
2597,2080,2302,2282,2105,1924,1724,1411,1261,1280,1269
2295,2212,2291,2156,2121,2105,1866,1441,1127,NaN,1122
2235,2506,2397,2314,2124,1990,NaN,1410,1165,1205,1116
2667,2338,2415,2272,2027,2137,1746,1279,1238,1266,NaN
2597,2069,2841,2471,2120,2125,1935,1474,1216,1203,NaN
2693,2338,NaN,2356,2283,2178,2054,1577,1224,1168,NaN
2790,2861,2421,2158,2186,2004,1896,1608,1257,1239,1113
2111,2109,1823,1661,NaN,1596,NaN,NaN,670,NaN,NaN
2218,2159,2077,2073,1996,1720,1694,1394,1215,1258,NaN
2822,2776,2562,2409,2352,1860,1973,NaN,1362,1275,1213
2642,2565,2688,2140,2078,1851,2024,1400,1211,1163,1204
2694,2821,2441,2263,2299,1904,1881,1390,1303,1280,NaN
2865,2675,2744,2235,1982,NaN,1901,NaN,1248,1268,NaN
2790,2462,2715,2685,2154,2121,1929,1423,1288,1219,1212
3016,2558,2622,2681,2257,1998,1986,1397,1198,1206,1149
2384,2496,2578,2522,2345,2249,1980,1323,1168,NaN,1144
2419,3005,2619,2570,2234,2327,NaN,1335,1267,1217,1109
3036,2651,2835,2597,2388,2335,1948,1356,1167,1200,NaN
3187,2521,2855,2326,2349,2269,1948,1418,1286,1148,NaN
3084,3039,NaN,2622,2437,2221,2160,1482,1317,1232,NaN
3374,3067,3012,2739,2627,2304,2131,1475,1253,1252,1175
2306,2220,1993,1840,NaN,1656,NaN,NaN,641,NaN,NaN
2718,2303,2495,2289,2196,1711,1720,1284,1174,1121,NaN
2992,2423,2408,2540,2219,1691,2038,NaN,1268,1103,1138
2901,2996,3054,2290,2053,2254,2091,1438,1175,1065,1121
